task,--1,--2,--3,--4,--5,--6,--7,--8,--9,--10,--11,--12,--13,--14,--15,--16,--17,--18,--19,--20,--21,--22,--23,--24,--25,--26,--27,--28,--29,--30,--31,--32,--33,--34,--35,--36,--37,--38,--39,--40,--41,--42,--43,--44,--45,--46,--47,--48,--49,--50
anaphor_agreement,86.04,91.26,92.79,93.71,94.12,92.54,90.39,91.92,91.87,96.52,93.46,94.58,95.65,91.72,93.92,91.05,91.67,93.76,94.58,91.56,87.47,94.89,94.48,94.12,91.77,92.54,92.59,90.85,91.36,92.23,93.51,91.41,90.85,92.13,92.43,92.02,89.88,94.63,93.66,93.66,93.4,92.08,91.72,93.25,91.51,92.38,93.35,93.25,92.28,92.23
argument_structure,71.39,72.53,76.2,75.95,77.66,78.3,79.29,77.26,78.19,79.84,78.75,78.98,77.79,78.56,78.35,77.66,78.24,79.19,78.14,79.19,78.72,79.03,78.82,78.73,77.62,78.47,78.84,78.66,78.29,77.97,78.47,78.38,78.02,78.59,78.55,78.54,78.46,77.78,78.73,78.86,78.88,79.01,78.35,78.87,78.69,79.03,79.22,78.98,78.84,78.79
binding,67.1,74.86,74.34,71.94,75.6,76.11,77.11,77.23,75.32,77.11,76.68,77.0,75.19,76.27,77.22,76.33,77.77,76.52,75.87,75.53,77.5,76.73,76.28,76.76,76.46,76.98,75.22,75.19,77.03,74.3,74.71,76.22,75.04,75.76,74.62,75.69,75.05,75.99,76.22,76.39,76.24,76.19,76.15,75.38,76.02,76.22,75.51,76.05,75.54,75.75
control_raising,66.75,67.17,69.95,68.87,71.81,72.45,73.8,73.95,72.49,73.86,74.5,74.02,73.88,73.84,73.73,73.95,73.8,72.89,73.04,73.95,74.39,74.83,74.77,74.02,73.6,73.0,73.77,74.06,74.79,74.24,73.97,74.35,73.22,73.46,74.72,73.8,74.15,73.55,73.97,73.51,73.71,73.73,73.6,73.55,74.19,74.28,73.93,73.93,74.13,73.95
determiner_noun_agreement,81.7,84.7,85.63,88.0,89.23,90.15,89.58,90.18,88.52,90.25,89.78,90.49,89.63,89.8,90.32,89.55,90.24,90.24,90.77,90.21,88.97,90.0,90.32,90.11,89.27,89.11,90.12,89.84,90.44,89.5,90.25,89.88,89.99,89.71,89.57,89.75,89.68,90.12,90.12,90.16,90.31,89.67,89.62,89.87,90.12,90.0,89.54,90.14,89.84,89.8
ellipsis,61.49,70.21,72.63,72.98,74.02,75.75,78.98,77.83,75.4,78.29,77.6,75.92,79.45,77.71,76.5,78.23,76.62,76.21,77.42,77.66,76.15,76.27,75.64,76.1,75.17,75.35,73.73,75.12,74.71,74.54,75.64,73.85,74.48,73.15,74.08,75.98,74.48,73.67,74.02,74.02,73.09,74.08,73.15,73.79,73.33,72.92,72.69,73.73,73.21,73.33
filler_gap,61.94,64.92,66.06,67.65,68.57,71.43,71.48,71.07,70.82,71.85,72.46,72.49,71.12,72.32,71.51,71.51,71.82,71.55,72.42,70.87,70.62,70.59,71.74,72.44,71.52,71.94,72.39,72.35,72.07,71.65,72.11,71.68,71.55,72.13,71.35,72.25,71.4,71.93,71.54,71.35,71.72,71.63,71.13,71.2,71.21,71.71,71.15,71.35,71.52,71.66
irregular_forms,86.56,95.17,92.06,93.03,90.28,91.4,93.99,94.25,92.47,94.2,92.52,90.18,91.96,91.91,91.65,90.64,90.74,93.64,91.04,92.52,93.08,90.53,91.55,91.2,91.91,92.32,93.13,90.43,91.09,90.23,90.79,91.96,90.48,92.01,90.13,91.04,90.69,90.74,91.2,91.86,90.94,91.81,90.53,91.65,91.55,91.2,91.81,91.6,91.45,91.4
island_effects,43.35,58.37,44.69,50.97,56.99,53.33,53.74,54.33,58.0,55.9,59.68,58.63,60.61,59.57,58.67,59.64,60.39,58.97,61.62,59.42,59.87,61.06,60.91,59.53,61.85,61.06,59.38,60.5,60.69,59.42,60.01,60.65,59.87,60.91,61.4,61.17,60.31,61.73,59.9,60.28,60.28,60.31,61.29,60.2,61.43,60.01,60.35,60.8,61.02,60.91
npi_licensing,35.38,46.05,47.8,51.59,49.88,52.03,55.92,51.9,49.36,53.63,51.21,50.49,49.06,50.27,50.29,47.53,51.29,50.26,52.06,50.82,53.55,52.35,52.23,50.12,48.25,48.31,51.93,51.32,49.88,53.19,53.43,53.25,45.82,55.63,55.1,53.67,52.98,52.22,53.8,52.61,54.65,52.92,52.67,54.65,53.2,53.86,51.72,54.18,53.7,53.69
quantifiers,72.51,65.02,72.59,67.95,67.1,67.49,65.28,65.25,64.01,61.33,60.59,64.58,66.02,64.99,64.25,62.55,64.86,59.56,62.06,61.49,61.93,59.97,58.78,64.71,64.12,63.76,63.45,61.23,59.89,60.41,66.1,66.02,63.21,63.09,63.6,64.89,65.25,60.23,60.3,61.26,63.65,63.7,62.34,59.22,62.06,62.13,64.04,62.42,63.47,62.88
subject_verb_agreement,65.8,75.34,73.71,79.48,80.96,80.74,80.0,81.57,78.86,83.7,81.48,81.7,81.25,80.04,80.83,76.15,79.04,81.07,79.57,79.86,81.07,80.83,81.21,80.58,81.66,80.51,77.94,78.1,78.92,78.97,79.33,78.99,78.32,79.93,79.55,80.23,77.89,78.45,79.02,79.24,79.08,78.34,78.03,78.75,78.95,79.75,79.86,79.26,78.88,78.83
hypernym,50.58,48.14,46.86,48.72,49.3,49.77,48.6,48.6,48.26,49.65,48.02,47.56,48.14,48.37,48.02,48.26,48.6,48.84,47.33,48.14,47.79,48.14,47.91,49.19,47.33,47.91,46.74,47.09,46.98,47.21,46.74,47.44,48.6,47.09,46.51,47.79,47.56,46.98,48.26,47.56,47.21,47.91,48.02,47.33,47.67,46.28,46.05,46.51,46.51,46.74
qa_congruence_easy,48.44,48.44,51.56,50.0,50.0,51.56,50.0,53.12,48.44,53.12,53.12,54.69,53.12,53.12,53.12,54.69,54.69,53.12,53.12,56.25,51.56,53.12,53.12,56.25,54.69,53.12,53.12,54.69,54.69,54.69,54.69,54.69,54.69,56.25,51.56,54.69,53.12,51.56,54.69,56.25,56.25,53.12,54.69,56.25,57.81,57.81,57.81,57.81,57.81,57.81
qa_congruence_tricky,27.88,31.52,33.94,29.09,30.3,29.7,30.91,29.7,27.27,30.3,29.09,32.73,30.91,28.48,29.7,30.91,33.33,27.27,31.52,29.7,27.27,27.27,27.27,29.7,28.48,27.88,28.48,27.27,27.88,28.48,29.7,30.3,29.09,29.7,32.12,30.3,30.91,29.09,30.3,28.48,32.12,30.91,27.88,28.48,29.09,29.09,28.48,29.09,29.09,29.09
subject_aux_inversion,79.53,73.6,83.63,75.14,80.29,82.61,86.0,84.58,79.19,79.92,79.21,82.7,80.78,72.16,80.53,80.73,77.24,79.75,77.46,77.8,71.07,74.02,72.82,76.43,74.24,77.24,71.82,76.95,71.99,73.33,75.38,70.43,70.11,71.7,69.11,74.12,68.75,65.38,69.26,66.16,67.63,68.58,69.6,65.5,67.72,66.58,68.14,67.09,67.55,67.7
turn_taking,50.36,50.36,57.86,53.57,55.71,52.14,55.0,50.36,52.5,52.14,52.14,50.0,50.71,54.29,52.5,50.71,50.71,53.21,54.29,52.5,51.79,52.14,52.14,51.07,56.07,52.86,53.57,54.29,53.21,52.14,55.0,54.64,52.5,51.07,51.79,54.64,53.57,54.29,55.71,53.93,51.07,51.43,52.14,51.79,50.71,52.86,52.5,51.79,51.79,51.43
